num_requests,n,infeasible_instance_rate,mean_violation_rate,sem_violation_rate,mean_dropped,mean_selected,mean_kept
5,10,0.9,0.4958333333333333,0.05972222222222222,3.2,5.9,2.7
10,20,1.0,0.7875159642401022,0.005102045776590662,22.0,27.95,5.95
20,20,1.0,0.8987505217585892,0.0016980358352135304,95.4,106.15,10.75
30,20,1.0,0.9305902374555395,0.0005709547748449015,221.9,238.45,16.55
40,20,1.0,0.9471975832123848,0.0003434251538573447,342.7,361.8,19.1
50,10,1.0,0.9512433121236972,0.0005471474405861875,470.3,494.4,24.1
60,20,1.0,0.9543292022700361,0.00041314806422479894,594.75,623.2,28.45
70,10,1.0,0.9561107001464053,0.0004854014891574286,723.5,756.7,33.2
80,20,1.0,0.9568522793126547,0.0003027143913557706,843.15,881.15,38.0
90,10,1.0,0.9579065547887249,0.000274168553034869,976.4,1019.3,42.9
100,10,1.0,0.9595704283240771,0.0003433847096072901,1098.9,1145.2,46.3
120,10,1.0,0.9597092928630276,0.0004464303051653822,1346.5,1403.0,56.5
140,10,1.0,0.9610675600401348,0.0003039436949031328,1619.7,1685.3,65.6
160,10,1.0,0.9619805663243393,0.0003420803954277083,1867.8,1941.6,73.8
180,10,1.0,0.9622260232708448,0.00024086455960202523,2124.9,2208.3,83.4
