num_requests,percent_serviced,avg_waiting_time,vmt,violation_rate,n,method
5,92.0,388.9395476923077,1177.5073538461536,0.96,10,Classical
10,98.5,445.0528674358975,2856.7115307692306,0.95,20,Classical
20,99.5,561.7684646963563,5160.2115951417,0.9574999999999999,20,Classical
30,100.0,490.1751441025641,7104.607991902834,0.95,20,Classical
40,100.0,537.0829763461538,9279.695384615385,0.9625,20,Classical
50,100.0,414.00066769230773,10542.332707692307,0.962,10,Classical
60,100.0,515.0109680769231,12917.3835951417,0.9583333333333334,20,Classical
70,100.0,493.1722408791208,14173.215384615383,0.9542857142857143,10,Classical
80,100.0,520.7836420192308,16396.725138461537,0.95875,20,Classical
90,100.0,488.9330061538461,17578.72112820513,0.961111111111111,10,Classical
100,100.0,511.7074543076923,20094.29066153846,0.9629999999999999,10,Classical
120,100.0,522.3197611538461,24643.043400000002,0.9591666666666667,10,Classical
140,100.0,544.9726283516484,27936.127184615383,0.9628571428571429,10,Classical
160,100.0,550.4726785576923,31493.05153846154,0.9625,10,Classical
180,100.0,568.8502000854701,34931.50683076923,0.9638888888888889,10,Classical
5,92.0,425.43182461538464,1264.8491692307691,0.96,10,ClassicalGreedy
10,94.5,404.43531843406595,2961.193330769231,0.95,20,ClassicalGreedy
20,91.5,483.2919747799315,4930.4398769230775,0.9574999999999999,20,ClassicalGreedy
30,98.83333333333334,480.4888348126233,7859.177307692307,0.95,20,ClassicalGreedy
40,95.25,497.3310236029788,9418.188507692306,0.9625,20,ClassicalGreedy
50,100.0,453.3932384615385,12034.339292307692,0.962,10,ClassicalGreedy
60,96.0,488.7724837087402,13098.490976923076,0.9583333333333334,20,ClassicalGreedy
70,100.0,451.32789626373625,15791.135092307693,0.9542857142857143,10,ClassicalGreedy
80,96.375,487.4957746401261,16920.34146153846,0.95875,20,ClassicalGreedy
90,100.0,489.032888034188,19385.10663076923,0.961111111111111,10,ClassicalGreedy
100,92.9,473.25646633610233,19137.73153846154,0.9629999999999999,10,ClassicalGreedy
120,93.49999999999999,477.90633603511543,23656.220969230766,0.9591666666666667,10,ClassicalGreedy
140,93.5,489.8149788008699,27056.45418803419,0.9628571428571429,10,ClassicalGreedy
160,94.5625,499.44673317190154,31118.578230769228,0.9625,10,ClassicalGreedy
180,92.83333333333334,505.30347477606745,32913.70616923077,0.9638888888888889,10,ClassicalGreedy
5,84.0,384.11819846153844,1337.439969230769,0.96,10,Quantum (simulator)
10,81.5,405.2898312087912,2840.3526923076925,0.95,20,Quantum (simulator)
20,87.75,497.41782074938476,6111.3745,0.9574999999999999,20,Quantum (simulator)
30,96.00000000000001,472.7264600330156,10031.15263076923,0.95,20,Quantum (simulator)
40,93.5,498.90609108946245,12889.869692307691,0.9625,20,Quantum (simulator)
50,96.4,420.87304482775914,15077.00883076923,0.962,10,Quantum (simulator)
60,93.5,496.16163182743395,16910.49416923077,0.9583333333333334,20,Quantum (simulator)
70,94.85714285714286,452.2230723070802,19235.048815384613,0.9542857142857143,10,Quantum (simulator)
80,95.0,517.9756530649615,21655.184076923077,0.95875,20,Quantum (simulator)
90,95.33333333333333,473.3172191362901,23446.486784615383,0.961111111111111,10,Quantum (simulator)
100,92.2,504.3212345062523,25117.96,0.9629999999999999,10,Quantum (simulator)
120,94.16666666666666,520.1543609052474,30567.840061538463,0.9591666666666667,10,Quantum (simulator)
140,93.71428571428571,528.7190915526307,34659.292169230765,0.9628571428571429,10,Quantum (simulator)
160,92.0,524.9760634551434,37817.2638,0.9625,10,Quantum (simulator)
180,92.66666666666666,549.8325363267885,41477.35635384615,0.9638888888888889,10,Quantum (simulator)
