scope,num_requests,n_served,n_dropped,mean_slack_served,mean_slack_dropped,median_slack_served,median_slack_dropped,mannwhitney_p_dropped_lower
overall,all,26028,1872,3006.56,2978.74,2991.5,2944.5,0.12970479149591058
by_size,5,83,17,3052.53,2946.24,3224.0,3226.0,0.37576256540326125
by_size,10,333,67,2942.37,2929.07,2962.0,2736.0,0.4642404180629083
by_size,20,702,98,3007.43,2994.36,3061.0,2996.5,0.45162250414680416
by_size,30,1154,46,3018.58,2895.2,3057.0,2877.5,0.2222376160704514
by_size,40,1498,102,3038.3,3025.48,3083.5,2956.0,0.4537598674251848
by_size,50,954,46,2967.13,3127.63,2947.0,3242.0,0.8570176956065286
by_size,60,2246,154,3009.55,2940.88,2988.5,2824.5,0.20539162147590123
by_size,70,1328,72,3034.36,2989.29,2978.0,3038.5,0.32280312291736235
by_size,80,3018,182,2981.04,3009.64,2949.0,2855.5,0.6140347198942937
by_size,90,1706,94,2971.11,3069.29,2940.0,3064.0,0.8138817259206352
by_size,100,1868,132,3034.65,2891.89,3047.0,2900.0,0.06303127069244015
by_size,120,2260,140,2990.08,2968.3,2942.0,2930.5,0.40931451148145886
by_size,140,2604,196,3022.76,2927.74,3062.5,2858.0,0.11729467054863035
by_size,160,2958,242,2999.22,2941.74,2983.0,2923.5,0.19534065649687637
by_size,180,3316,284,3022.01,3039.96,2999.0,2996.0,0.6005639651981386
