method,num_requests,metric,n,mean,std,sem,cv,min,max
Classical,5,avg_detour_factor,10,1.9469,1.161,0.3671,0.5963,1.1657,4.666
ClassicalGreedy,5,avg_detour_factor,10,1.8965,1.1008,0.3481,0.5804,1.1334,4.666
Quantum (simulator),5,avg_detour_factor,10,2.1687,1.0841,0.3428,0.4999,1.21,4.666
Classical,10,avg_detour_factor,20,1.3992,0.1892,0.0423,0.1352,1.0384,1.6552
ClassicalGreedy,10,avg_detour_factor,20,1.572,0.5223,0.1168,0.3322,1.0384,3.0239
Quantum (simulator),10,avg_detour_factor,20,1.632,0.2474,0.0553,0.1516,1.2943,2.0514
Classical,20,avg_detour_factor,19,1.2821,0.2616,0.06,0.204,1.0799,2.2794
ClassicalGreedy,20,avg_detour_factor,20,1.3138,0.2062,0.0461,0.157,1.0903,1.8356
Quantum (simulator),20,avg_detour_factor,20,1.6726,0.3419,0.0765,0.2044,1.2825,2.9
Classical,30,avg_detour_factor,19,1.1067,0.0871,0.02,0.0787,0.9607,1.269
ClassicalGreedy,30,avg_detour_factor,20,1.1771,0.0924,0.0207,0.0785,1.0344,1.4137
Quantum (simulator),30,avg_detour_factor,20,1.596,0.3229,0.0722,0.2023,1.2962,2.8366
Classical,40,avg_detour_factor,20,1.1087,0.1114,0.0249,0.1005,0.9507,1.352
ClassicalGreedy,40,avg_detour_factor,20,1.1722,0.1064,0.0238,0.0908,1.02,1.3764
Quantum (simulator),40,avg_detour_factor,20,1.611,0.1306,0.0292,0.0811,1.3804,1.8549
Classical,50,avg_detour_factor,10,1.0214,0.0568,0.018,0.0556,0.9241,1.1199
ClassicalGreedy,50,avg_detour_factor,10,1.1028,0.1182,0.0374,0.1072,0.9866,1.3851
Quantum (simulator),50,avg_detour_factor,10,1.4264,0.104,0.0329,0.0729,1.1908,1.5713
Classical,60,avg_detour_factor,19,1.0228,0.0964,0.0221,0.0942,0.877,1.2616
ClassicalGreedy,60,avg_detour_factor,20,1.0645,0.0927,0.0207,0.0871,0.9139,1.2299
Quantum (simulator),60,avg_detour_factor,20,1.4385,0.1067,0.0239,0.0742,1.2684,1.6421
Classical,70,avg_detour_factor,9,0.9471,0.0385,0.0128,0.0407,0.875,1.0112
ClassicalGreedy,70,avg_detour_factor,10,1.0148,0.0511,0.0162,0.0504,0.9007,1.0893
Quantum (simulator),70,avg_detour_factor,10,1.3299,0.0779,0.0246,0.0586,1.2209,1.4392
Classical,80,avg_detour_factor,20,0.9673,0.0665,0.0149,0.0688,0.8651,1.0819
ClassicalGreedy,80,avg_detour_factor,20,1.0144,0.0729,0.0163,0.0719,0.9015,1.1741
Quantum (simulator),80,avg_detour_factor,20,1.3404,0.1115,0.0249,0.0832,1.1768,1.5914
Classical,90,avg_detour_factor,9,0.9074,0.0462,0.0154,0.051,0.8475,0.9809
ClassicalGreedy,90,avg_detour_factor,10,0.959,0.0553,0.0175,0.0576,0.887,1.076
Quantum (simulator),90,avg_detour_factor,10,1.2469,0.0605,0.0191,0.0485,1.1681,1.3284
Classical,100,avg_detour_factor,10,1.012,0.0527,0.0167,0.0521,0.9576,1.0988
ClassicalGreedy,100,avg_detour_factor,10,1.0544,0.0465,0.0147,0.0441,1.0066,1.164
Quantum (simulator),100,avg_detour_factor,10,1.3752,0.0646,0.0204,0.047,1.2692,1.474
Classical,120,avg_detour_factor,10,0.9475,0.0362,0.0114,0.0382,0.8875,0.9894
ClassicalGreedy,120,avg_detour_factor,10,0.9943,0.0463,0.0146,0.0466,0.9368,1.0671
Quantum (simulator),120,avg_detour_factor,10,1.2643,0.0647,0.0205,0.0512,1.1652,1.4
Classical,140,avg_detour_factor,10,0.9233,0.0318,0.01,0.0344,0.8772,0.9658
ClassicalGreedy,140,avg_detour_factor,9,0.9562,0.0288,0.0096,0.0302,0.9021,0.9882
Quantum (simulator),140,avg_detour_factor,10,1.2524,0.0401,0.0127,0.032,1.1952,1.3184
Classical,160,avg_detour_factor,10,0.8996,0.0357,0.0113,0.0397,0.8474,0.9518
ClassicalGreedy,160,avg_detour_factor,10,0.9477,0.0671,0.0212,0.0708,0.8618,1.0996
Quantum (simulator),160,avg_detour_factor,10,1.1958,0.0659,0.0208,0.0551,1.1187,1.3347
Classical,180,avg_detour_factor,10,0.8982,0.0522,0.0165,0.0581,0.7981,1.0028
ClassicalGreedy,180,avg_detour_factor,10,0.9333,0.0552,0.0175,0.0591,0.8302,1.0342
Quantum (simulator),180,avg_detour_factor,10,1.1685,0.0598,0.0189,0.0511,1.036,1.2671
Classical,5,avg_waiting_time,10,388.9395,392.4441,124.1017,1.009,10.15,1337.4929
ClassicalGreedy,5,avg_waiting_time,10,425.4318,388.1548,122.7453,0.9124,38.2542,1337.4929
