city,encoding,num_vehicles,num_requests,seed,trial,pegasus_size,logical_qubits,n_couplers,embed_success,physical_qubits,max_chain,mean_chain,embed_time_s
32_Phoenix_City,merge_tree,5,5,50542,1,16,35,60,1,42,2,1.2,0.07150936126708984
32_Phoenix_City,pairwise,5,5,50542,1,16,15,50,1,23,2,1.5333333333333334,0.06681180000305176
32_Phoenix_City,merge_tree,5,5,50543,2,16,35,60,1,43,2,1.2285714285714286,0.07672667503356934
32_Phoenix_City,pairwise,5,5,50543,2,16,15,50,1,27,3,1.8,0.09314513206481934
32_Phoenix_City,merge_tree,5,5,50544,3,16,35,60,1,43,2,1.2285714285714286,0.0778355598449707
32_Phoenix_City,pairwise,5,5,50544,3,16,15,50,1,25,2,1.6666666666666667,0.06151747703552246
32_Phoenix_City,merge_tree,5,5,50545,4,16,35,60,1,46,2,1.3142857142857143,0.06768560409545898
32_Phoenix_City,pairwise,5,5,50545,4,16,15,50,1,26,3,1.7333333333333334,0.06552267074584961
32_Phoenix_City,merge_tree,5,5,50546,5,16,35,60,1,44,2,1.2571428571428571,0.06397199630737305
32_Phoenix_City,pairwise,5,5,50546,5,16,15,50,1,25,2,1.6666666666666667,0.068939208984375
32_Phoenix_City,merge_tree,5,10,100542,1,16,145,270,1,248,4,1.710344827586207,0.4556150436401367
32_Phoenix_City,pairwise,5,10,100542,1,16,55,450,1,265,8,4.818181818181818,1.7315177917480469
32_Phoenix_City,merge_tree,5,10,100543,2,16,145,270,1,245,4,1.6896551724137931,0.5236120223999023
32_Phoenix_City,pairwise,5,10,100543,2,16,55,450,1,265,8,4.818181818181818,1.8760676383972168
32_Phoenix_City,merge_tree,5,10,100544,3,16,145,270,1,262,4,1.806896551724138,0.6027877330780029
32_Phoenix_City,pairwise,5,10,100544,3,16,55,450,1,254,8,4.618181818181818,2.038116216659546
32_Phoenix_City,merge_tree,5,10,100545,4,16,145,270,1,226,3,1.5586206896551724,0.9724428653717041
32_Phoenix_City,pairwise,5,10,100545,4,16,55,450,1,256,7,4.654545454545454,4.981569528579712
32_Phoenix_City,merge_tree,5,10,100546,5,16,142,264,1,256,4,1.8028169014084507,0.5912790298461914
32_Phoenix_City,pairwise,5,10,100546,5,16,54,432,1,241,7,4.462962962962963,2.9810569286346436
32_Phoenix_City,merge_tree,10,10,101042,1,16,145,270,1,254,4,1.7517241379310344,0.39020228385925293
32_Phoenix_City,pairwise,10,10,101042,1,16,55,450,1,255,8,4.636363636363637,1.3998026847839355
32_Phoenix_City,merge_tree,10,10,101043,2,16,145,270,1,232,3,1.6,0.688755989074707
32_Phoenix_City,pairwise,10,10,101043,2,16,55,450,1,245,7,4.454545454545454,2.5616707801818848
32_Phoenix_City,merge_tree,10,10,101044,3,16,145,270,1,239,4,1.6482758620689655,0.6202936172485352
32_Phoenix_City,pairwise,10,10,101044,3,16,55,450,1,254,8,4.618181818181818,2.2428388595581055
32_Phoenix_City,merge_tree,10,10,101045,4,16,145,270,1,275,5,1.896551724137931,0.34256958961486816
32_Phoenix_City,pairwise,10,10,101045,4,16,55,450,1,251,8,4.5636363636363635,1.3041613101959229
32_Phoenix_City,merge_tree,10,10,101046,5,16,145,270,1,247,4,1.703448275862069,0.5668995380401611
32_Phoenix_City,pairwise,10,10,101046,5,16,55,450,1,265,8,4.818181818181818,2.1857240200042725
32_Phoenix_City,merge_tree,10,20,201042,1,16,590,1140,1,1825,14,3.093220338983051,8.189135074615479
32_Phoenix_City,pairwise,10,20,201042,1,16,210,3800,1,3516,32,16.742857142857144,60.42464756965637
32_Phoenix_City,merge_tree,10,20,201043,2,16,590,1140,1,1980,15,3.3559322033898304,19.994290351867676
32_Phoenix_City,pairwise,10,20,201043,2,16,210,3800,1,3477,34,16.557142857142857,60.838367223739624
32_Phoenix_City,merge_tree,10,20,201044,3,16,590,1140,1,2041,15,3.4593220338983053,9.163199186325073
32_Phoenix_City,pairwise,10,20,201044,3,16,210,3800,1,3437,30,16.366666666666667,60.56105923652649
32_Phoenix_City,merge_tree,10,20,201045,4,16,590,1140,1,1965,13,3.330508474576271,7.192126750946045
32_Phoenix_City,pairwise,10,20,201045,4,16,210,3800,1,3681,35,17.52857142857143,49.40721130371094
32_Phoenix_City,merge_tree,10,20,201046,5,16,590,1140,1,2105,17,3.5677966101694913,5.035243034362793
32_Phoenix_City,pairwise,10,20,201046,5,16,210,3800,1,3540,33,16.857142857142858,60.11853837966919
32_Phoenix_City,merge_tree,20,20,202042,1,16,590,1140,1,2024,16,3.4305084745762713,7.541999578475952
32_Phoenix_City,pairwise,20,20,202042,1,16,210,3800,1,3543,31,16.87142857142857,49.121283769607544
32_Phoenix_City,merge_tree,20,20,202043,2,16,590,1140,1,1821,16,3.0864406779661016,11.108458995819092
32_Phoenix_City,pairwise,20,20,202043,2,16,210,3800,1,3362,30,16.00952380952381,66.24142289161682
32_Phoenix_City,merge_tree,20,20,202044,3,16,590,1140,1,1942,17,3.2915254237288134,6.489551305770874
