num_requests,encoding,n_seeds,embed_success_rate,logical_qubits,physical_qubits,max_chain,mean_chain,phys_over_logical
5,merge_tree,5,1.0,35.0,43.6,2.0,1.2457142857142858,1.2457142857142858
5,pairwise,5,1.0,15.0,25.2,2.4,1.6800000000000002,1.68
10,merge_tree,10,1.0,144.7,248.4,3.9,1.716833414278776,1.716655148583276
10,pairwise,10,1.0,54.9,255.1,7.7,4.646296296296296,4.646630236794171
20,merge_tree,10,1.0,590.0,1940.9,15.2,3.2896610169491525,3.289661016949153
20,pairwise,10,1.0,210.0,3434.4,31.1,16.354285714285716,16.354285714285716
30,merge_tree,10,0.0,1335.0,,,,
30,pairwise,10,0.0,465.0,,,,
40,merge_tree,10,0.0,2090.9,,,,
40,pairwise,10,0.0,710.3,,,,
