num_requests,tree_vars,pair_vars,tree_couplers,pair_couplers,tree_density,pair_density,couplers_pair_over_tree,n_trials
5,35.0,15.0,60.0,50.0,0.10084033613445369,0.4761904761904761,0.8333333333333334,5
10,144.7,54.9,269.4,448.2,0.0259129612598555,0.3029159519725557,1.6636363636363636,10
20,590.0,210.0,1140.0,3800.0,0.0065609622744669,0.1731601731601731,3.333333333333333,10
30,1335.0,465.0,2610.0,13050.0,0.0029311187103077,0.1209677419354838,5.0,10
40,2090.9,710.3,4141.8,24741.1,0.0018957852784480997,0.09820780224590428,5.973105646593604,10
50,2857.0,969.0,5664.0,37685.4,0.00138848878822934,0.08034180333401436,6.652580026236973,5
60,3611.4,1223.8,7162.8,51293.6,0.0010989951743744098,0.06852716897363617,7.158817489467611,10
70,4359.8,1476.6,8649.6,66108.2,0.0009104483793654399,0.060659670829173215,7.641003437941502,5
80,5060.2,1713.4,10040.4,78647.3,0.00078467201256438,0.05358728907334333,7.8299740168022725,10
90,5838.0,1976.0,11586.0,94768.2,0.00068005851508478,0.04856230948843564,8.178835244690609,5
100,6564.2,2221.4,13028.4,109960.4,0.0006048322327478399,0.04458631437271924,8.439881281487393,5
120,8080.8,2733.6,16041.6,142207.4,0.00049154070375112,0.0380574770322881,8.861453089035011,5
140,9631.6,3257.2,19123.2,177391.8,0.00041236765177855996,0.033440652843895705,9.27434317636088,5
160,11172.8,3777.6,22185.6,217927.4,0.00035553229379844,0.03055179207251838,9.822370984074398,5
180,12727.8,4302.6,25275.6,253170.6,0.00031210546870728,0.02734622646486548,10.013757894634143,5
