num_requests,n_seeds,tree_vars_mean,tree_vars_std,pair_vars_mean,pair_vars_std,tree_couplers_mean,tree_couplers_std,pair_couplers_mean,pair_couplers_std,tree_density_mean,pair_density_mean,tree_degree_max_mean,pair_degree_max_mean,pair_degree_max_std,couplers_ratio_mean,couplers_ratio_std
5,5,35.0,0.0,15.0,0.0,60.0,0.0,50.0,0.0,0.10084033613445369,0.4761904761904761,8.0,16.0,0.0,0.83,0.0
10,10,144.7,0.9,54.9,0.3,269.4,1.9,448.2,5.7,0.0259129612598555,0.30291595197255566,8.0,36.0,0.0,1.66,0.01
20,10,590.0,0.0,210.0,0.0,1140.0,0.0,3800.0,0.0,0.0065609622744669,0.1731601731601731,8.0,76.0,0.0,3.33,0.0
30,10,1335.0,0.0,465.0,0.0,2610.0,0.0,13050.0,0.0,0.0029311187103077006,0.1209677419354838,8.0,116.0,0.0,5.0,0.0
40,10,2090.9,18.1,710.3,6.0,4141.8,36.1,24741.1,430.1,0.0018957852784480997,0.0982078022459043,8.0,152.0,0.0,5.97,0.05
50,5,2857.0,37.2,969.0,12.4,5664.0,74.5,37685.4,995.9,0.00138848878822934,0.08034180333401435,8.0,192.0,0.0,6.65,0.09
60,10,3611.4,62.3,1223.8,20.8,7162.8,124.5,51293.6,1955.1,0.0010989951743744098,0.06852716897363617,8.0,230.0,3.0,7.16,0.15
70,5,4359.8,59.1,1476.6,19.7,8649.6,118.2,66108.2,2428.7,0.0009104483793654399,0.060659670829173215,8.0,269.6,2.6,7.64,0.18
80,10,5060.2,102.7,1713.4,34.2,10040.4,205.4,78647.3,3364.0,0.0007846720125643799,0.05358728907334333,8.0,301.0,7.4,7.83,0.18
90,5,5838.0,60.3,1976.0,20.1,11586.0,120.7,94768.2,1978.3,0.0006800585150847799,0.04856230948843564,8.0,328.0,10.0,8.18,0.09
100,5,6564.2,37.6,2221.4,12.5,13028.4,75.3,109960.4,1513.7,0.0006048322327478399,0.04458631437271924,8.0,363.6,8.8,8.44,0.09
120,5,8080.8,162.3,2733.6,54.1,16041.6,324.5,142207.4,6382.8,0.00049154070375112,0.0380574770322881,8.0,420.4,8.9,8.86,0.22
140,5,9631.6,111.1,3257.2,37.0,19123.2,222.3,177391.8,6139.6,0.00041236765177855996,0.033440652843895705,8.0,455.2,26.3,9.27,0.22
160,5,11172.8,152.4,3777.6,50.8,22185.6,304.9,217927.4,5007.4,0.00035553229379844,0.03055179207251838,8.0,528.0,27.5,9.82,0.14
180,5,12727.8,141.5,4302.6,47.2,25275.6,283.0,253170.6,10433.4,0.00031210546870728004,0.02734622646486548,8.0,566.8,46.1,10.01,0.3
