seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
50542,1,5,5,0,1,1,4561.0,1.5115935168028318
50542,1,5,5,0,2,1,1316.0,1.1916385882417806
50542,1,5,5,0,3,1,1850.0,1.9461438941877318
50542,1,5,5,0,4,1,4585.0,1.5115935168028318
50542,1,5,5,0,5,1,1897.0,1.9461438941877318
50543,2,5,5,0,1,0,4471.0,
50543,2,5,5,0,2,1,4275.0,1.0813980916779655
50543,2,5,5,0,3,1,1405.0,1.6352320597824093
50543,2,5,5,0,4,1,3150.0,1.6352320597824093
50543,2,5,5,0,5,1,3342.0,1.0813980916779655
50544,3,5,5,0,1,1,4482.0,3.0703540545548953
50544,3,5,5,0,2,1,3680.0,1.7643414565391227
50544,3,5,5,0,3,1,1368.0,4.483146382370393
50544,3,5,5,0,4,1,3070.0,1.7776796409784554
50544,3,5,5,0,5,1,3357.0,3.0703540545548953
50545,4,5,5,0,1,1,2187.0,1.2644833006696063
50545,4,5,5,0,2,1,3262.0,8.189263088665182
50545,4,5,5,0,3,1,1890.0,3.1937620735666052
50545,4,5,5,0,4,1,2271.0,8.189263088665182
50545,4,5,5,0,5,1,1341.0,3.799968854261538
50546,5,5,5,0,1,0,4647.0,
50546,5,5,5,0,2,0,3596.0,
50546,5,5,5,0,3,1,1826.0,1.3673706536283212
50546,5,5,5,0,4,0,2038.0,
50546,5,5,5,0,5,1,3226.0,2.50502148245655
50547,6,5,5,0,1,1,3043.0,1.824540720187044
50547,6,5,5,0,2,1,4486.0,1.7596012036061626
50547,6,5,5,0,3,1,3905.0,1.1174091658032956
50547,6,5,5,0,4,1,3014.0,1.824540720187044
50547,6,5,5,0,5,1,4256.0,1.7596012036061626
50548,7,5,5,0,1,1,4291.0,1.6366461822058198
50548,7,5,5,0,2,1,2720.0,1.4820383131563075
50548,7,5,5,0,3,0,4555.0,
50548,7,5,5,0,4,1,3628.0,1.6366461822058198
50548,7,5,5,0,5,1,2528.0,1.4820383131563075
50549,8,5,5,0,1,0,1261.0,
50549,8,5,5,0,2,0,2571.0,
50549,8,5,5,0,3,0,1442.0,
50549,8,5,5,0,4,1,3224.0,4.6659798338246095
50549,8,5,5,0,5,0,3606.0,
50550,9,5,5,0,1,1,1502.0,2.024160779103831
50550,9,5,5,0,2,1,3704.0,1.7425997264600888
50550,9,5,5,0,3,1,1819.0,1.8798733570440576
50550,9,5,5,0,4,1,1659.0,1.8798733570440576
50550,9,5,5,0,5,1,3702.0,1.7425997264600888
50551,10,5,5,0,1,1,3779.0,1.939447427571128
50551,10,5,5,0,2,1,3810.0,2.4421158828789578
50551,10,5,5,0,3,1,2386.0,1.1527345715463349
50551,10,5,5,0,4,1,4426.0,1.939447427571128
50551,10,5,5,0,5,1,3313.0,1.1527345715463349
100542,1,5,10,0,1,0,2313.0,
100542,1,5,10,0,2,1,2554.0,1.2869107186478297
100542,1,5,10,0,3,1,3111.0,2.128253434114971
100542,1,5,10,0,4,1,2021.0,1.2331535557853692
100542,1,5,10,0,5,1,1494.0,1.3835790769525929
100542,1,5,10,0,6,1,3382.0,2.128253434114971
100542,1,5,10,0,7,1,3557.0,1.2869107186478297
100542,1,5,10,0,8,1,2299.0,2.8507510386705017
100542,1,5,10,0,9,1,1568.0,1.3835790769525929
100542,1,5,10,0,10,1,1923.0,1.2331535557853692
100543,2,5,10,0,1,0,2202.0,
100543,2,5,10,0,2,1,1219.0,1.3807113152481099
100543,2,5,10,0,3,1,1294.0,2.43678297435994
100543,2,5,10,0,4,1,1273.0,1.5793630102761302
100543,2,5,10,0,5,1,2253.0,2.43678297435994
100543,2,5,10,0,6,1,2777.0,1.5793630102761302
100543,2,5,10,0,7,1,1618.0,1.3807113152481099
100543,2,5,10,0,8,1,3707.0,1.9456594204521378
100543,2,5,10,0,9,1,4280.0,1.2349285163351882
100543,2,5,10,0,10,0,4783.0,
100544,3,5,10,0,1,1,2258.0,1.4134848675147467
100544,3,5,10,0,2,1,3726.0,1.6046814850005031
100544,3,5,10,0,3,1,1351.0,4.090426035594811
100544,3,5,10,0,4,0,1562.0,
100544,3,5,10,0,5,1,3105.0,2.086016947248431
100544,3,5,10,0,6,1,3896.0,1.4134848675147467
100544,3,5,10,0,7,1,1924.0,2.086016947248431
100544,3,5,10,0,8,0,2735.0,
100544,3,5,10,0,9,1,4494.0,1.4422658757519575
100544,3,5,10,0,10,0,2706.0,
100545,4,5,10,0,1,1,2442.0,1.1883179681317257
100545,4,5,10,0,2,0,2411.0,
100545,4,5,10,0,3,1,3093.0,1.4036479003224946
100545,4,5,10,0,4,1,1248.0,2.9010888805449766
100545,4,5,10,0,5,1,3133.0,1.4036479003224946
100545,4,5,10,0,6,1,2479.0,1.1883179681317257
100545,4,5,10,0,7,0,3760.0,
100545,4,5,10,0,8,0,4459.0,
100545,4,5,10,0,9,1,2685.0,3.091281421184661
100545,4,5,10,0,10,0,1662.0,
100546,5,5,10,0,1,1,4508.0,1.2670977410474
100546,5,5,10,0,2,1,2688.0,1.17658888214224
100546,5,5,10,0,3,1,4163.0,1.2505621996332363
100546,5,5,10,0,4,1,2485.0,2.0813586131510142
100546,5,5,10,0,5,1,2164.0,1.2505621996332363
100546,5,5,10,0,6,0,3160.0,
100546,5,5,10,0,7,1,2006.0,1.17658888214224
100546,5,5,10,0,8,0,2886.0,
100546,5,5,10,0,9,1,3241.0,2.0813586131510142
100546,5,5,10,0,10,1,4326.0,1.2670977410474
100547,6,5,10,0,1,1,4123.0,1.5293000764943716
100547,6,5,10,0,2,1,2114.0,1.2369368507760605
100547,6,5,10,0,3,0,1283.0,
100547,6,5,10,0,4,1,2875.0,1.5457000524577835
100547,6,5,10,0,5,1,4072.0,1.2620939259647976
100547,6,5,10,0,6,0,1303.0,
100547,6,5,10,0,7,0,2511.0,
100547,6,5,10,0,8,1,2824.0,1.1212681101463549
100547,6,5,10,0,9,1,3221.0,1.5457000524577835
100547,6,5,10,0,10,0,1362.0,
100548,7,5,10,0,1,1,3767.0,2.690787673705161
100548,7,5,10,0,2,1,3832.0,1.5582506941490348
100548,7,5,10,0,3,1,1475.0,2.2498945907769468
100548,7,5,10,0,4,1,3550.0,1.748405346072796
100548,7,5,10,0,5,0,2885.0,
100548,7,5,10,0,6,1,3826.0,2.2498945907769468
100548,7,5,10,0,7,1,1768.0,1.5582506941490348
100548,7,5,10,0,8,1,1710.0,2.4664237930225736
100548,7,5,10,0,9,1,3188.0,1.748405346072796
100548,7,5,10,0,10,1,3575.0,2.690787673705161
100549,8,5,10,0,1,1,4058.0,1.0139273371086974
100549,8,5,10,0,2,1,4773.0,1.4141731864860319
100549,8,5,10,0,3,1,4501.0,2.346216167556864
100549,8,5,10,0,4,1,2454.0,2.5437924072419156
100549,8,5,10,0,5,1,4107.0,1.0139273371086974
100549,8,5,10,0,6,1,4400.0,2.346216167556864
100549,8,5,10,0,7,1,4106.0,1.4141731864860319
100549,8,5,10,0,8,0,4364.0,
