seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
50542,1,5,5,0,1,1,4561.0,2.8759573142055297
50542,1,5,5,0,2,1,1316.0,1.2254438343914253
50542,1,5,5,0,3,1,1850.0,1.367858798595933
50542,1,5,5,0,4,1,4585.0,1.367858798595933
50542,1,5,5,0,5,1,1897.0,2.8759573142055297
50543,2,5,5,0,1,1,4471.0,1.5847271681252424
50543,2,5,5,0,2,1,4275.0,2.719201364601357
50543,2,5,5,0,3,1,1405.0,1.6352320597824093
50543,2,5,5,0,4,1,3150.0,1.6352320597824093
50543,2,5,5,0,5,1,3342.0,1.5847271681252424
50544,3,5,5,0,1,1,4482.0,3.0703540545548953
50544,3,5,5,0,2,0,3680.0,
50544,3,5,5,0,3,1,1368.0,4.483146382370393
50544,3,5,5,0,4,1,3070.0,1.7776796409784554
50544,3,5,5,0,5,1,3357.0,3.0703540545548953
50545,4,5,5,0,1,1,2187.0,3.2089496662685963
50545,4,5,5,0,2,1,3262.0,7.416780292700661
50545,4,5,5,0,3,1,1890.0,3.1937620735666052
50545,4,5,5,0,4,1,2271.0,3.2089496662685963
50545,4,5,5,0,5,1,1341.0,3.799968854261538
50546,5,5,5,0,1,0,4647.0,
50546,5,5,5,0,2,0,3596.0,
50546,5,5,5,0,3,1,1826.0,1.3673706536283212
50546,5,5,5,0,4,1,2038.0,1.7864407319566438
50546,5,5,5,0,5,0,3226.0,
50547,6,5,5,0,1,1,3043.0,1.6284211584875303
50547,6,5,5,0,2,1,4486.0,1.9121349837195232
50547,6,5,5,0,3,1,3905.0,1.2012739957736513
50547,6,5,5,0,4,1,3014.0,1.9121349837195232
50547,6,5,5,0,5,1,4256.0,1.2012739957736513
50548,7,5,5,0,1,1,4291.0,2.1833030995106038
50548,7,5,5,0,2,1,2720.0,2.1833030995106038
50548,7,5,5,0,3,1,4555.0,1.0203596463839615
50548,7,5,5,0,4,0,3628.0,
50548,7,5,5,0,5,1,2528.0,1.0203596463839615
50549,8,5,5,0,1,0,1261.0,
50549,8,5,5,0,2,0,2571.0,
50549,8,5,5,0,3,0,1442.0,
50549,8,5,5,0,4,1,3224.0,4.6659798338246095
50549,8,5,5,0,5,0,3606.0,
50550,9,5,5,0,1,1,1502.0,2.119990476137537
50550,9,5,5,0,2,1,3704.0,1.6784320698614037
50550,9,5,5,0,3,1,1819.0,1.1433801106864343
50550,9,5,5,0,4,1,1659.0,1.853127924394521
50550,9,5,5,0,5,1,3702.0,1.1433801106864343
50551,10,5,5,0,1,1,3779.0,1.3629527723477657
50551,10,5,5,0,2,1,3810.0,1.7745157278196284
50551,10,5,5,0,3,1,2386.0,1.7745157278196284
50551,10,5,5,0,4,1,4426.0,1.5303924614269446
50551,10,5,5,0,5,1,3313.0,1.3629527723477657
100542,1,5,10,0,1,0,2313.0,
100542,1,5,10,0,2,1,2554.0,2.418766837955289
100542,1,5,10,0,3,1,3111.0,1.719645236445877
100542,1,5,10,0,4,0,2021.0,
100542,1,5,10,0,5,1,1494.0,1.0750106984162962
100542,1,5,10,0,6,1,3382.0,2.1149505124521943
100542,1,5,10,0,7,0,3557.0,
100542,1,5,10,0,8,0,2299.0,
100542,1,5,10,0,9,1,1568.0,1.251987098260569
100542,1,5,10,0,10,0,1923.0,
100543,2,5,10,0,1,0,2202.0,
100543,2,5,10,0,2,1,1219.0,1.6528283302460918
100543,2,5,10,0,3,1,1294.0,1.8863893006394898
