encoding,qubo_vars,qubo_couplers,qubo_graph_density,anneal_time_s,annealer_energy_reported,annealer_energy,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,cleanup_keep_fraction,percent_serviced,vmt,avg_waiting_time,n_assigned_trips,n_served_requests,city,num_vehicles,num_requests,seed,trial,lambda_val,M_val,cost_alpha,cap_per_request,num_reads,num_sweeps,capacity3,n_retained_trips
merge_tree,3759,8290,0.0011736954601487917,7.392676900024526,-150536902.08307695,-150536902.0830769,495,9,486,0.9818181818181818,1,0.01818181818181818,100.0,6005.089692307692,377.89267692307686,9,20,32_Phoenix_City,10,20,201042,1,2500.0,37500.0,10.0,100,200,1000,1,995
pairwise,995,181165,0.3663488468499439,9.72073790000286,-7597.449229717255,-7597.449230769233,9,9,0,0.0,0,1.0,80.0,3712.8090769230766,180.7282115384615,9,16,32_Phoenix_City,10,20,201042,1,2500.0,37500.0,10.0,100,200,1000,1,995
merge_tree,3597,7926,0.0012255299883755558,7.158900799986441,-143046267.40923083,-143046267.4092307,470,9,461,0.9808510638297873,1,0.019148936170212766,80.0,5651.943999999999,863.3828749999999,8,16,32_Phoenix_City,10,20,201043,2,2500.0,37500.0,10.0,100,200,1000,1,955
pairwise,955,165066,0.36235635022555895,9.151261600025464,-3914.018469810486,-3914.0184615384596,6,6,0,0.0,0,1.0,55.0,2466.5430769230775,545.1806573426574,6,11,32_Phoenix_City,10,20,201043,2,2500.0,37500.0,10.0,100,200,1000,1,955
merge_tree,9692,21665,0.00046132468088533286,19.287764300010167,-393346026.21384645,-393346026.21384656,1243,13,1230,0.9895414320193081,1,0.010458567980691875,87.5,8344.591692307691,636.6566197802198,13,35,32_Phoenix_City,20,40,402042,1,2500.0,37500.0,10.0,100,200,1000,1,2470
pairwise,2470,725797,0.2380274923217943,45.95633650000673,-15548.943017959595,-15548.943076923084,13,13,0,0.0,0,1.0,85.0,7303.314461538459,711.589552036199,13,34,32_Phoenix_City,20,40,402042,1,2500.0,37500.0,10.0,100,200,1000,1,2470
merge_tree,10385,23201,0.00043029422696151925,20.578816800029017,-419908079.77538466,-419908079.7753843,1323,12,1311,0.9909297052154195,1,0.009070294784580499,85.0,8935.448307692306,485.0215022624435,12,34,32_Phoenix_City,20,40,402043,2,2500.0,37500.0,10.0,100,200,1000,1,2651
pairwise,2651,865348,0.24635715963360214,60.65861539996695,-12582.743131637573,-12582.743076923085,13,13,0,0.0,0,1.0,85.0,7278.110615384615,448.3025294117647,13,34,32_Phoenix_City,20,40,402043,2,2500.0,37500.0,10.0,100,200,1000,1,2651
merge_tree,16989,38086,0.0002639278926212217,38.17455270001665,-685336769.758462,-685336769.7584622,2158,18,2140,0.9916589434661723,1,0.008341056533827619,86.66666666666667,11716.920307692306,397.60578698224856,18,52,32_Phoenix_City,30,60,603042,1,2500.0,37500.0,10.0,100,200,1000,1,4292
pairwise,4292,1827577,0.19846661003774127,182.71850610000547,-27892.062965393066,-27892.063076923092,15,15,0,0.0,0,1.0,71.66666666666667,8228.911846153844,450.83016100178884,15,43,32_Phoenix_City,30,60,603042,1,2500.0,37500.0,10.0,100,200,1000,1,4292
merge_tree,16411,36790,0.0002732223088280252,35.386745299969334,-662785743.2615381,-662785743.2615385,2077,17,2060,0.9918151179585941,1,0.008184882041405874,80.0,10600.26953846154,476.13235576923074,17,48,32_Phoenix_City,30,60,603043,2,2500.0,37500.0,10.0,100,200,1000,1,4147
pairwise,4147,1675570,0.19490780856118448,165.57741110003553,-26694.189365386963,-26694.189230769232,18,18,0,0.0,0,1.0,83.33333333333333,9960.357384615385,531.9975538461538,18,50,32_Phoenix_City,30,60,603043,2,2500.0,37500.0,10.0,100,200,1000,1,4147
