lambda_val,M_val,mean_rank,best_rank,worst_rank,n_sizes_seen,n_sizes_tied_with_best
2500.0,5000.0,6.055555555555555,1,14,18,8
5000.0,10000.0,6.470588235294118,1,14,17,8
10000.0,20000.0,6.529411764705882,2,15,17,6
20000.0,40000.0,6.823529411764706,1,15,17,8
2500.0,25000.0,7.0,1,14,18,8
40000.0,200000.0,7.529411764705882,1,15,17,7
2500.0,12500.0,8.222222222222221,2,15,18,5
10000.0,50000.0,8.352941176470589,1,14,17,5
20000.0,100000.0,8.411764705882353,1,14,17,5
5000.0,25000.0,8.529411764705882,3,15,17,7
40000.0,80000.0,8.647058823529411,4,13,17,6
20000.0,200000.0,8.705882352941176,1,15,17,7
40000.0,400000.0,8.882352941176471,1,15,17,5
5000.0,50000.0,9.117647058823529,1,15,17,4
10000.0,100000.0,9.823529411764707,1,15,17,2
